INDICATOR,REF_DATE,GEO,VALUE,STATUS
social_participation.community_belonging_65plus,2015,Canada (excluding territories),74.3,
social_participation.community_belonging_65plus,2017,Canada (excluding territories),76.3,
social_participation.community_belonging_65plus,2019,Canada (excluding territories),75.8,
social_participation.community_belonging_65plus,2021,Canada (excluding territories),74.6,
social_participation.community_belonging_65plus,2022,Canada (excluding territories),69.8,
social_participation.community_belonging_65plus,2015,Nova Scotia,82.3,
social_participation.community_belonging_65plus,2017,Nova Scotia,80.8,
social_participation.community_belonging_65plus,2019,Nova Scotia,79.5,
social_participation.community_belonging_65plus,2021,Nova Scotia,82.4,
social_participation.community_belonging_65plus,2022,Nova Scotia,77.5,
care_access.regular_provider_65plus,2015,Canada (excluding territories),93.4,
care_access.regular_provider_65plus,2017,Canada (excluding territories),93.0,
care_access.regular_provider_65plus,2019,Canada (excluding territories),92.6,
care_access.regular_provider_65plus,2021,Canada (excluding territories),92.1,
care_access.regular_provider_65plus,2015,Nova Scotia,91.0,
care_access.regular_provider_65plus,2017,Nova Scotia,90.2,
care_access.regular_provider_65plus,2019,Nova Scotia,89.5,
care_access.regular_provider_65plus,2021,Nova Scotia,88.4,
health.perceived_health_65plus,2015,Canada (excluding territories),41.2,
health.perceived_health_65plus,2017,Canada (excluding territories),40.1,
health.perceived_health_65plus,2019,Canada (excluding territories),39.4,
health.perceived_health_65plus,2021,Canada (excluding territories),38.0,
health.perceived_health_65plus,2015,Nova Scotia,36.8,
health.perceived_health_65plus,2017,Nova Scotia,35.4,
health.perceived_health_65plus,2019,Nova Scotia,34.1,
health.perceived_health_65plus,2021,Nova Scotia,32.7,
social_participation.life_satisfaction_65plus,2015,Canada (excluding territories),93.6,
social_participation.life_satisfaction_65plus,2017,Canada (excluding territories),93.1,
social_participation.life_satisfaction_65plus,2019,Canada (excluding territories),92.7,
social_participation.life_satisfaction_65plus,2021,Canada (excluding territories),91.5,
social_participation.life_satisfaction_65plus,2015,Nova Scotia,92.8,
social_participation.life_satisfaction_65plus,2017,Nova Scotia,92.2,
social_participation.life_satisfaction_65plus,2019,Nova Scotia,91.6,
social_participation.life_satisfaction_65plus,2021,Nova Scotia,90.4,
health.mood_disorder_65plus,2015,Canada (excluding territories),6.5,
health.mood_disorder_65plus,2017,Canada (excluding territories),6.8,
health.mood_disorder_65plus,2019,Canada (excluding territories),7.0,
health.mood_disorder_65plus,2021,Canada (excluding territories),7.5,
health.mood_disorder_65plus,2022,Canada (excluding territories),7.8,
health.mood_disorder_65plus,2015,Nova Scotia,7.5,
health.mood_disorder_65plus,2017,Nova Scotia,7.8,
health.mood_disorder_65plus,2019,Nova Scotia,8.0,
health.mood_disorder_65plus,2021,Nova Scotia,8.5,
health.mood_disorder_65plus,2022,Nova Scotia,9.0,
care_access.flu_immunization_65plus,2015,Canada (excluding territories),64.0,
care_access.flu_immunization_65plus,2017,Canada (excluding territories),66.0,
care_access.flu_immunization_65plus,2019,Canada (excluding territories),68.0,
care_access.flu_immunization_65plus,2021,Canada (excluding territories),70.0,
care_access.flu_immunization_65plus,2022,Canada (excluding territories),69.0,
care_access.flu_immunization_65plus,2015,Nova Scotia,67.0,
care_access.flu_immunization_65plus,2017,Nova Scotia,68.0,
care_access.flu_immunization_65plus,2019,Nova Scotia,70.0,
care_access.flu_immunization_65plus,2021,Nova Scotia,72.0,
care_access.flu_immunization_65plus,2022,Nova Scotia,71.0,
independence.arthritis_65plus,2015,Canada (excluding territories),43.0,
independence.arthritis_65plus,2017,Canada (excluding territories),43.5,
